date,value,mom_pct,yoy_pct
1947-01-01,21.48,,
1947-02-01,21.62,0.6517690875232907,
1947-03-01,22.0,1.757631822386685,
1947-04-01,22.0,0.0,
1947-05-01,21.95,-0.2272727272727315,
1947-06-01,22.08,0.5922551252847352,
1947-07-01,22.23,0.6793478260869623,
1947-08-01,22.4,0.7647323436797082,
1947-09-01,22.84,1.9642857142857295,
1947-10-01,22.91,0.3064798598949148,
1947-11-01,23.06,0.6547359231776406,
1947-12-01,23.41,1.5177797051170838,
1948-01-01,23.68,1.1533532678342562,10.242085661080068
1948-02-01,23.67,-0.04222972972972583,9.481961147086038
1948-03-01,23.5,-0.7182087029995898,6.818181818181812
1948-04-01,23.82,1.3617021276595809,8.272727272727277
1948-05-01,24.01,0.7976490344248521,9.384965831435089
1948-06-01,24.15,0.5830903790087438,9.375
1948-07-01,24.4,1.0351966873705987,9.761583445793963
1948-08-01,24.43,0.12295081967212962,9.062499999999996
1948-09-01,24.36,-0.2865329512893977,6.654991243432562
1948-10-01,24.31,-0.20525451559935126,6.110868616324749
1948-11-01,24.16,-0.6170300287947295,4.770164787510844
1948-12-01,24.05,-0.4552980132450313,2.733874412644166
1949-01-01,24.01,-0.16632016632016633,1.3935810810810967
1949-02-01,23.91,-0.4164931278633932,1.0139416983523386
1949-03-01,23.91,0.0,1.744680851063829
1949-04-01,23.92,0.04182350480970154,0.4198152812762368
1949-05-01,23.91,-0.04180602006689238,-0.4164931278633932
1949-06-01,23.92,0.04182350480970154,-0.9523809523809379
1949-07-01,23.7,-0.9197324414715768,-2.868852459016391
1949-08-01,23.7,0.0,-2.988129349160873
1949-09-01,23.75,0.21097046413502962,-2.504105090311981
1949-10-01,23.67,-0.3368421052631465,-2.6326614561908546
1949-11-01,23.7,0.12674271229402567,-1.9039735099337762
1949-12-01,23.61,-0.37974683544304,-1.8295218295218296
1950-01-01,23.51,-0.42354934349850826,-2.082465639316955
1950-02-01,23.61,0.42535091450446316,-1.2547051442910906
1950-03-01,23.64,0.12706480304955914,-1.129234629861986
1950-04-01,23.65,0.04230118443315778,-1.1287625418060276
1950-05-01,23.77,0.5073995771670337,-0.5855290673358438
1950-06-01,23.88,0.462768195204033,-0.16722408026756952
1950-07-01,24.07,0.7956448911222935,1.561181434599157
1950-08-01,24.2,0.540091400083087,2.1097046413502074
1950-09-01,24.34,0.5785123966942196,2.4842105263158
1950-10-01,24.5,0.6573541495480617,3.50654837346851
1950-11-01,24.6,0.40816326530612734,3.797468354430378
1950-12-01,24.98,1.5447154471544655,5.80262600592969
1951-01-01,25.38,1.601281024819845,7.9540621012335055
1951-02-01,25.83,1.773049645390068,9.402795425667087
1951-03-01,25.88,0.19357336430507743,9.475465313028764
1951-04-01,25.92,0.15455950540959051,9.598308668076116
1951-05-01,25.99,0.2700617283950546,9.339503575936048
1951-06-01,25.93,-0.2308580223162715,8.584589614740379
1951-07-01,25.91,-0.07713073659852965,7.644370585791438
1951-08-01,25.86,-0.1929756850636899,6.859504132231398
1951-09-01,26.03,0.6573859242072766,6.943303204601481
1951-10-01,26.16,0.49942374183633564,6.775510204081625
1951-11-01,26.32,0.6116207951070374,6.991869918699178
1951-12-01,26.47,0.5699088145896702,5.964771817453962
1952-01-01,26.45,-0.0755572346052169,4.215918045705291
1952-02-01,26.41,-0.15122873345935206,2.245451025938827
1952-03-01,26.39,-0.07572889057174681,1.9706336939721902
1952-04-01,26.46,0.2652519893899141,2.083333333333326
1952-05-01,26.47,0.03779289493575089,1.8468641785302164
1952-06-01,26.53,0.22667170381565072,2.313922097956045
1952-07-01,26.68,0.5653976630229929,2.9718255499807
1952-08-01,26.69,0.03748125937033109,3.209590100541382
1952-09-01,26.63,-0.22480329711502822,2.3050326546292688
1952-10-01,26.69,0.22530980097634767,2.0259938837920544
1952-11-01,26.69,0.0,1.4057750759878473
1952-12-01,26.71,0.07493443237167607,0.9066868152625585
1953-01-01,26.64,-0.2620741295395024,0.7183364839319584
1953-02-01,26.59,-0.18768768768768762,0.6815600151457879
1953-03-01,26.63,0.150432493418573,0.9094353921940135
1953-04-01,26.69,0.22530980097634767,0.8692365835222926
1953-05-01,26.7,0.037467216185826935,0.86890819795995
1953-06-01,26.77,0.26217228464420206,0.9046362608367886
1953-07-01,26.79,0.07471049682479247,0.41229385307346433
1953-08-01,26.85,0.22396416573349232,0.5994754589734086
1953-09-01,26.89,0.14897579143389184,0.9763424708974844
1953-10-01,26.95,0.2231312755671233,0.9741476208317668
1953-11-01,26.85,-0.37105751391465214,0.5994754589734086
1953-12-01,26.87,0.07448789571693482,0.5990265818045737
1954-01-01,26.94,0.2605135839225836,1.1261261261261257
1954-02-01,26.99,0.18559762435039762,1.5043249341857745
1954-03-01,26.93,-0.22230455724341347,1.1265490048817162
1954-04-01,26.86,-0.25993316004455647,0.6369426751592355
1954-05-01,26.93,0.2606105733432562,0.8614232209737782
1954-06-01,26.94,0.03713330857779695,0.635039223010847
1954-07-01,26.86,-0.29695619896066283,0.26129152668905586
1954-08-01,26.85,-0.03723008190616994,0.0
1954-09-01,26.81,-0.14897579143390294,-0.2975083674228385
1954-10-01,26.72,-0.33569563595673424,-0.8534322820037077
1954-11-01,26.78,0.22455089820359042,-0.26070763500931626
1954-12-01,26.77,-0.037341299477222645,-0.37216226274656705
1955-01-01,26.77,0.0,-0.6310319227913919
1955-02-01,26.82,0.18677624206200338,-0.6298629121896937
1955-03-01,26.79,-0.11185682326622093,-0.519866320089124
1955-04-01,26.79,0.0,-0.2606105733432673
1955-05-01,26.77,-0.0746547219111604,-0.5941329372447068
1955-06-01,26.71,-0.22413149047441072,-0.8537490720118779
1955-07-01,26.76,0.18719580681392234,-0.37230081906179935
1955-08-01,26.72,-0.1494768310911887,-0.484171322160154
1955-09-01,26.85,0.48652694610780145,0.14919806042521522
1955-10-01,26.82,-0.11173184357542443,0.37425149700598404
