date,ticker,flow_usd
2025-06-23,IBIT,217600000.0
2025-06-23,FBTC,105700000.0
2025-06-23,BITB,14600000.0
2025-06-23,BTCO,6200000.0
2025-06-23,GBTC,-5700000.0
2025-06-23,ARKB,2100000.0
2025-06-23,EZBC,0.0
2025-06-23,BRRR,0.0
2025-06-23,HODL,0.0
2025-06-23,BTCW,0.0
2025-06-24,IBIT,436300000.0
2025-06-24,FBTC,85200000.0
2025-06-24,ARKB,43800000.0
2025-06-24,BITB,9800000.0
2025-06-24,HODL,6000000.0
2025-06-24,BTCO,0.0
2025-06-24,EZBC,0.0
2025-06-24,BRRR,0.0
2025-06-24,BTCW,0.0
2025-06-24,GBTC,0.0
2025-06-25,IBIT,340300000.0
2025-06-25,FBTC,115200000.0
2025-06-25,ARKB,70200000.0
2025-06-25,BITB,12900000.0
2025-06-25,HODL,9100000.0
2025-06-25,BTCO,0.0
2025-06-25,EZBC,0.0
2025-06-25,BRRR,0.0
2025-06-25,BTCW,0.0
2025-06-25,GBTC,0.0
2025-06-26,IBIT,163700000.0
2025-06-26,FBTC,32900000.0
2025-06-26,BITB,25200000.0
2025-06-26,EZBC,3100000.0
2025-06-26,ARKB,1800000.0
2025-06-26,BTCO,0.0
2025-06-26,BRRR,0.0
2025-06-26,HODL,0.0
2025-06-26,BTCW,0.0
2025-06-26,GBTC,0.0
2025-06-27,FBTC,165500000.0
2025-06-27,IBIT,153000000.0
2025-06-27,ARKB,150300000.0
2025-06-27,BITB,11600000.0
2025-06-27,HODL,6000000.0
2025-06-27,BTCO,3700000.0
2025-06-27,EZBC,3100000.0
2025-06-27,BRRR,0.0
2025-06-27,BTCW,0.0
2025-06-27,GBTC,0.0
2025-06-30,IBIT,112300000.0
2025-06-30,ARKB,-10200000.0
2025-06-30,FBTC,0.0
2025-06-30,BITB,0.0
2025-06-30,BTCO,0.0
2025-06-30,EZBC,0.0
2025-06-30,BRRR,0.0
2025-06-30,HODL,0.0
2025-06-30,BTCW,0.0
2025-06-30,GBTC,0.0
2025-07-01,FBTC,-172700000.0
2025-07-01,GBTC,-119500000.0
2025-07-01,ARKB,-27000000.0
2025-07-01,BITB,-23000000.0
2025-07-01,IBIT,0.0
2025-07-01,BTCO,0.0
2025-07-01,EZBC,0.0
2025-07-01,BRRR,0.0
2025-07-01,HODL,0.0
2025-07-01,BTCW,0.0
2025-07-02,FBTC,184000000.0
2025-07-02,ARKB,83000000.0
2025-07-02,BITB,64900000.00000001
2025-07-02,GBTC,34600000.0
2025-07-02,BTCO,9900000.0
2025-07-02,EZBC,9500000.0
2025-07-02,HODL,5400000.0
2025-07-02,IBIT,0.0
2025-07-02,BRRR,0.0
2025-07-02,BTCW,0.0
2025-07-03,FBTC,237100000.0
2025-07-03,IBIT,224500000.0
2025-07-03,ARKB,114200000.0
2025-07-03,BITB,15500000.0
2025-07-03,HODL,4700000.0
2025-07-03,BTCO,0.0
2025-07-03,EZBC,0.0
2025-07-03,BRRR,0.0
2025-07-03,BTCW,0.0
2025-07-03,GBTC,0.0
2025-07-07,IBIT,164600000.0
2025-07-07,FBTC,66000000.0
2025-07-07,GBTC,-10200000.0
2025-07-07,ARKB,-10100000.0
2025-07-07,BITB,0.0
2025-07-07,BTCO,0.0
2025-07-07,EZBC,0.0
2025-07-07,BRRR,0.0
2025-07-07,HODL,0.0
2025-07-07,BTCW,0.0
2025-07-08,IBIT,66800000.0
2025-07-08,FBTC,4800000.0
2025-07-08,BRRR,3700000.0
2025-07-08,BITB,0.0
2025-07-08,ARKB,0.0
2025-07-08,BTCO,0.0
2025-07-08,EZBC,0.0
2025-07-08,HODL,0.0
2025-07-08,BTCW,0.0
2025-07-08,GBTC,0.0
2025-07-09,IBIT,125600000.0
2025-07-09,ARKB,57000000.0
2025-07-09,BTCO,9500000.0
2025-07-09,FBTC,4800000.0
2025-07-09,BITB,3000000.0
2025-07-09,EZBC,0.0
2025-07-09,BRRR,0.0
2025-07-09,HODL,0.0
2025-07-09,BTCW,0.0
2025-07-09,GBTC,0.0
2025-07-10,IBIT,448500000.0
2025-07-10,FBTC,324300000.0
2025-07-10,ARKB,268700000.0
2025-07-10,BITB,77200000.0
2025-07-10,GBTC,-40200000.0
2025-07-10,HODL,15200000.0
2025-07-10,BTCO,0.0
2025-07-10,EZBC,0.0
2025-07-10,BRRR,0.0
2025-07-10,BTCW,0.0
2025-07-11,IBIT,953500000.0
2025-07-11,ARKB,23500000.0
2025-07-11,HODL,20000000.0
2025-07-11,BITB,6400000.0
2025-07-11,BTCO,5300000.0
2025-07-11,FBTC,0.0
2025-07-11,EZBC,0.0
2025-07-11,BRRR,0.0
2025-07-11,BTCW,0.0
2025-07-11,GBTC,0.0
2025-07-14,IBIT,394700000.0
2025-07-14,ARKB,-99600000.0
2025-07-14,FBTC,-26100000.0
2025-07-14,HODL,8500000.0
2025-07-14,BITB,7200000.0
2025-07-14,BTCO,0.0
2025-07-14,EZBC,0.0
2025-07-14,BRRR,0.0
2025-07-14,BTCW,0.0
2025-07-14,GBTC,0.0
2025-07-15,IBIT,416300000.0
2025-07-15,GBTC,-41200000.0
2025-07-15,FBTC,-22900000.0
2025-07-15,HODL,19000000.0
2025-07-15,BITB,12700000.0
2025-07-15,EZBC,6800000.0
2025-07-15,ARKB,-6200000.0
2025-07-15,BTCO,0.0
2025-07-15,BRRR,0.0
2025-07-15,BTCW,0.0
2025-07-16,IBIT,763900000.0
2025-07-16,ARKB,19800000.0
2025-07-16,FBTC,10400000.0
2025-07-16,BITB,0.0
2025-07-16,BTCO,0.0
2025-07-16,EZBC,0.0
2025-07-16,BRRR,0.0
2025-07-16,HODL,0.0
2025-07-16,BTCW,0.0
2025-07-16,GBTC,0.0
2025-07-17,IBIT,497300000.0
2025-07-17,FBTC,7800000.0
2025-07-17,BTCO,7100000.0
2025-07-17,HODL,5100000.0
2025-07-17,BITB,0.0
2025-07-17,ARKB,0.0
2025-07-17,EZBC,0.0
2025-07-17,BRRR,0.0
2025-07-17,BTCW,0.0
2025-07-17,GBTC,0.0
2025-07-18,IBIT,496800000.0
2025-07-18,GBTC,-81300000.0
2025-07-18,ARKB,-33600000.0
2025-07-18,FBTC,-17900000.0
2025-07-18,BTCW,3100000.0
2025-07-18,BITB,-1900000.0
2025-07-18,HODL,-1700000.0
2025-07-18,BTCO,0.0
2025-07-18,EZBC,0.0
2025-07-18,BRRR,0.0
2025-07-21,ARKB,-77500000.0
2025-07-21,GBTC,-36700000.0
2025-07-21,FBTC,-12800000.0
2025-07-21,HODL,-2500000.0
2025-07-21,BITB,-1900000.0
2025-07-21,IBIT,0.0
2025-07-21,BTCO,0.0
2025-07-21,EZBC,0.0
2025-07-21,BRRR,0.0
2025-07-21,BTCW,0.0
2025-07-22,BITB,-42300000.0
2025-07-22,ARKB,-33200000.000000004
2025-07-22,GBTC,7500000.0
2025-07-22,IBIT,0.0
2025-07-22,FBTC,0.0
2025-07-22,BTCO,0.0
2025-07-22,EZBC,0.0
2025-07-22,BRRR,0.0
2025-07-22,HODL,0.0
2025-07-22,BTCW,0.0
2025-07-23,FBTC,-227200000.0
2025-07-23,IBIT,142600000.0
2025-07-23,ARKB,-9800000.0
2025-07-23,BITB,-1900000.0
2025-07-23,BTCO,0.0
2025-07-23,EZBC,0.0
2025-07-23,BRRR,0.0
2025-07-23,HODL,0.0
2025-07-23,BTCW,0.0
2025-07-23,GBTC,0.0
2025-07-24,FBTC,106600000.0
2025-07-24,HODL,46400000.0
2025-07-24,IBIT,32500000.0
2025-07-24,BITB,29800000.0
2025-07-24,EZBC,3500000.0
2025-07-24,ARKB,0.0
2025-07-24,BTCO,0.0
2025-07-24,BRRR,0.0
2025-07-24,BTCW,0.0
2025-07-24,GBTC,0.0
2025-07-25,IBIT,92800000.0
2025-07-25,GBTC,-50500000.0
2025-07-25,ARKB,30300000.0
2025-07-25,BITB,21000000.0
2025-07-25,HODL,18200000.0
2025-07-25,FBTC,10200000.0
2025-07-25,BTCO,0.0
2025-07-25,EZBC,0.0
2025-07-25,BRRR,0.0
2025-07-25,BTCW,0.0
2025-07-28,IBIT,147400000.0
2025-07-28,FBTC,30900000.0
2025-07-28,ARKB,-17400000.0
2025-07-28,BITB,-14800000.0
2025-07-28,BTCO,0.0
2025-07-28,EZBC,0.0
2025-07-28,BRRR,0.0
2025-07-28,HODL,0.0
